,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
125,stocktwits,XLF,2.007143,2.22,-0.212857,7,1,7,32,19656,7/11/16,01:27.3
126,stocktwits,XLF,1.71,2.2,-0.49,2,1,2,20,19656,7/10/16,01:28.4
127,stocktwits,XLF,1.726667,1.8,-0.073333,3,1,3,11,19656,7/9/16,01:27.5
128,stocktwits,XLF,1.854444,2.78,-0.925556,9,1,9,36,19656,7/8/16,01:28.8
129,stocktwits,XLF,0.845,2.666667,-1.821667,2,3,0.6667,29,19656,7/7/16,01:29.6
130,stocktwits,XLF,1.325,1.63875,-0.31375,4,8,0.5,28,19656,7/6/16,01:26.5
131,stocktwits,XLF,1.42,2.588571,-1.168571,5,7,0.7143,40,19656,7/5/16,01:29.5
132,stocktwits,XLF,0,2,-2,0,1,0,17,19656,7/4/16,01:28.4
133,stocktwits,XLF,2.3,0.8,1.5,1,2,0.5,17,19656,7/3/16,01:27.8
134,stocktwits,XLF,2.56,1.92,0.64,1,2,0.5,11,19656,7/2/16,01:30.1
135,stocktwits,XLF,1.225,1.9375,-0.7125,8,4,2,36,19656,7/1/16,01:29.6
136,stocktwits,XLF,1.406471,1.515,-0.108529,17,10,1.7,49,19656,6/30/16,01:29.3
137,stocktwits,XLF,2.102,1.393333,0.708667,20,6,3.3333,101,19656,6/29/16,01:29.7
138,stocktwits,XLF,1.742857,1.5275,0.215357,7,4,1.75,43,19656,6/28/16,01:26.4
139,stocktwits,XLF,1.978182,1.974167,0.004015,11,24,0.4583,95,19656,6/27/16,01:30.6
140,stocktwits,XLF,1.9125,2.053333,-0.140833,4,3,1.3333,21,19656,6/26/16,01:25.8
141,stocktwits,XLF,1.575,3,-1.425,4,1,4,12,19656,6/25/16,01:27.7
142,stocktwits,XLF,1.512353,2.059333,-0.54698,17,15,1.1333,75,19656,6/24/16,01:23.3
143,stocktwits,XLF,1.27,2.275,-1.005,11,6,1.8333,49,19656,6/23/16,01:27.5
144,stocktwits,XLF,1.215,1.975,-0.76,2,4,0.5,25,19656,6/22/16,01:10.2
145,stocktwits,XLF,2.2,2.51,-0.31,1,2,0.5,17,19656,6/21/16,01:08.7
146,stocktwits,XLF,1.831818,1.295,0.536818,11,6,1.8333,45,19656,6/20/16,01:10.0
147,stocktwits,XLF,1.936,1.986667,-0.050667,5,3,1.6667,10,19656,6/19/16,01:06.6
148,stocktwits,XLF,1,0,1,1,0,0,7,19656,6/18/16,01:09.2
149,stocktwits,XLF,2.0625,2.22,-0.1575,4,3,1.3333,12,19656,6/17/16,01:10.5
150,stocktwits,XLF,1.482,1.963333,-0.481333,5,6,0.8333,28,19656,6/16/16,01:11.0
151,stocktwits,XLF,1.701,2.524,-0.823,10,5,2,41,19656,6/15/16,01:06.3
152,stocktwits,XLF,1.697,1.871818,-0.174818,10,11,0.9091,47,19656,6/14/16,01:09.7
153,stocktwits,XLF,2.444,4,-1.556,5,1,5,23,19656,6/13/16,01:11.8
154,stocktwits,XLF,2.692,1.91,0.782,5,1,5,13,19656,6/12/16,01:10.3
155,stocktwits,XLF,1.942,2.5,-0.558,5,1,5,12,19656,6/11/16,01:10.9
156,stocktwits,XLF,2.144,1.99625,0.14775,5,8,0.625,42,19656,6/10/16,01:10.8
157,stocktwits,XLF,1.38,1.562222,-0.182222,8,9,0.8889,41,19656,6/9/16,01:09.3
158,stocktwits,XLF,1.478,0.816667,0.661333,5,3,1.6667,32,19656,6/8/16,01:43.6
159,stocktwits,XLF,1.13,2.07,-0.94,2,3,0.6667,24,19656,6/7/16,01:32.3
160,stocktwits,XLF,1.783333,0,1.783333,9,0,0,33,19656,6/6/16,01:10.1
161,stocktwits,XLF,2.1,0.26,1.84,2,1,2,13,19656,6/5/16,01:26.5
162,stocktwits,XLF,2.203333,2.44,-0.236667,3,1,3,13,19656,6/4/16,01:10.5
163,stocktwits,XLF,1.295714,2.40375,-1.108036,14,8,1.75,55,19656,6/3/16,01:07.0
164,stocktwits,XLF,1.957,1.4,0.557,10,4,2.5,35,19656,6/2/16,01:10.1
165,stocktwits,XLF,1.421818,0.42,1.001818,11,5,2.2,42,19656,6/1/16,01:01.3
166,stocktwits,XLF,1.931429,2.15,-0.218571,7,5,1.4,38,19656,5/31/16,01:01.3
167,stocktwits,XLF,1.955,0,1.955,2,0,0,10,19656,5/30/16,00:59.5
168,stocktwits,XLF,2.13,0,2.13,5,0,0,13,19656,5/29/16,01:00.6
169,stocktwits,XLF,0,1.756667,-1.756667,0,3,0,10,19656,5/28/16,01:11.5
170,stocktwits,XLF,1.720833,0.83,0.890833,12,1,12,40,19656,5/27/16,01:06.0
171,stocktwits,XLF,1.98,1.773333,0.206667,5,6,0.8333,39,19656,5/26/16,01:01.2
172,stocktwits,XLF,2.104762,1.773333,0.331429,21,3,7,61,19656,5/25/16,01:00.8
173,stocktwits,XLF,1.7375,1.536667,0.200833,16,3,5.3333,39,19656,5/24/16,01:00.7
174,stocktwits,XLF,2.061667,1.47,0.591667,6,4,1.5,29,19656,5/23/16,01:01.8
175,stocktwits,XLF,2.378,2.78,-0.402,5,2,2.5,25,19656,5/22/16,01:01.4
176,stocktwits,XLF,1.965,0,1.965,2,0,0,14,19656,5/21/16,01:01.8
177,stocktwits,XLF,1.946667,2.25,-0.303333,3,3,1,23,19656,5/20/16,00:58.2
178,stocktwits,XLF,2.047,1.56,0.487,10,4,2.5,40,19656,5/19/16,00:59.9
179,stocktwits,XLF,1.755135,1.896,-0.140865,37,5,7.4,107,19656,5/18/16,00:57.8
180,stocktwits,XLF,2.234,1.77,0.464,5,2,2.5,35,19656,5/17/16,00:59.6
181,stocktwits,XLF,2.066667,2.683333,-0.616667,3,3,1,34,19656,5/16/16,01:16.6
182,stocktwits,XLF,1.78,2.48,-0.7,1,4,0.25,14,19656,5/15/16,01:16.1
183,stocktwits,XLF,0.64,2.4,-1.76,1,3,0.3333,21,19656,5/14/16,00:56.6
184,stocktwits,XLF,2.073333,2.1225,-0.049167,3,8,0.375,38,19656,5/13/16,00:59.0
185,stocktwits,XLF,1.53,1.0125,0.5175,4,4,1,27,19656,5/12/16,00:57.2
186,stocktwits,XLF,1.5675,1.7,-0.1325,4,1,4,29,19656,5/11/16,01:18.5
187,stocktwits,XLF,2.40875,1.33,1.07875,8,1,8,24,19656,5/10/16,00:57.5
188,stocktwits,XLF,2.375,1.33,1.045,2,1,2,16,19656,5/9/16,00:55.9
189,stocktwits,XLF,1.865,2.11,-0.245,2,1,2,20,19656,5/8/16,00:57.3
190,stocktwits,XLF,1.44,0,1.44,1,0,0,13,19656,5/7/16,00:56.1
191,stocktwits,XLF,1.876,1.878571,-0.002571,5,7,0.7143,32,19656,5/6/16,01:21.9
192,stocktwits,XLF,1.466667,1.95,-0.483333,3,4,0.75,25,19656,5/5/16,00:58.0
193,stocktwits,XLF,1.7525,2.41625,-0.66375,4,8,0.5,26,19656,5/4/16,00:57.2
194,stocktwits,XLF,1.602857,1.828462,-0.225604,7,13,0.5385,45,19656,5/3/16,00:57.8
195,stocktwits,XLF,1.5175,0,1.5175,4,0,0,17,19656,5/2/16,00:57.2
196,stocktwits,XLF,1.53,1,0.53,4,1,4,11,19656,5/1/16,00:57.0
197,stocktwits,XLF,0,0,0,0,0,0,9,19656,4/30/16,00:54.9
